Заказчик;Объект;№ заказа;Заключен;№ комплекта;Наименование комплекта;№ изделия по приложению;№ изделия по повт.приложению;Л;Центр работ;Включено;Наименование изделия;Отказ;Менеджер проекта;Руководитель группы;Архитектор проекта;Конструктор;Исполнитель Диз.проекта;Статус ДП;Обр.не подписан;Обр.подписан;Этаж;Помещение;Ед-ца изм.;Количество по дог-ру;Серийный №;Материал массив;Материал шпон;Рисунок;Порядковый № образца цвета заказчика;Художественный отдел;1-Улица 2-Помещение с повыш. влажностью 3-Поверхности с повыш.износом;Кол-во по факту проектирования;Обмеры;Обмерщик;Об-ва ДП;Об-ва Oбразцы;Об-ва ГП;Об-ва нач.монтажа;Об-ва окон.монтажа;Готовность строительных работ по информации заказчика;Смежники по дереву;Договор заключен;Дата сдачи;К.Сверхур %;КДП создана;КДП утверждена внутри фирмы;Ведомость фурнитуры;Ведомость стекла;Утвержденная спецификация передана в производство;КД передана в архив и производство, в том числе смежникам;Отгружено в отделку без резьбы.;Отгружено в отделку с резьбой.;Передано на грунт;Передано на грунт с резьбой;Выполнено в черновой шлифовке.;Выполнено в черновой шлифовке с резьбой.;Перемещено в зону чистовой отделки.;Перемещено в зону чистовой отделки с резьбой.;Выполнено в отделке без резьбы.;Выполнено в отделке с резьбой.;Отметка ОТК без резьбы;Отметка ОТК с резьбой;Поступило на склад ГП без резьбы.;Поступило на склад ГП с резьбой;Отгружено на объект без резьбы;Примечания;Отгружено на объект с резьбой;Сервис менеджер;Монтажник;Смонтировано;Акт подписан
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;122;3этаж/коридор 302/шкаф встроенный...;1;1;;;;Пояс панельный стеновой (по аналогии с панелями коридора 212), с распашными фасадами / съемными панелями для доступа к секциям тех.назначения, филенки со штапиком с гладким профилем (без учета стоимости потолочного карниза);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 28-11-2018;49;;3 этаж;Коридор 302;м2;10.2;Спец.Дизайн;Бук;нет;укрывной;49  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;(П)13-12-2018;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;122;3этаж/коридор 302/шкаф встроенный...;1;33;;;;Карниз для панельного пояса;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 28-11-2018;47;;3 этаж;Коридор 302;м2;0;Спец.Дизайн;Бук;нер;;47  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;(П)30-11-2018;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;122;3этаж/коридор 302/шкаф встроенный...;2;2;;;;Шкаф, встроенный в нишу, фасады глухие распашные: филенки со штапиком с гладким профилем, Наполнение: полки деревянные стационарные, Цокольный плинтус с гладким профидем, (без учета стоимости лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 28-11-2018;49;;3 этаж;Коридор 302;шт;1;Спец.Дизайн;Бук;нет;укрывной;49  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;12-12-2018;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;3;;;;;Шкаф с секцией под двухдверный холодильник, фасады глухие распашные: филенки со штапиком с гладким профилем, Антресольная секция закрытая: распашные глухие фасады с филенками с гладким штапиком, Цокольный плинтус с гладким профилем, (без учета стоимости лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка A-B;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;4;;;;;Тумба (под раковину), фасады филенчатые распашные(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка A-B;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;5;;;;;Тумба, фасады филенчатые распашные, выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;6;;;;;Тумба под инсталляцию варочной панели, с нижним ящиком(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;7;;;;;Тумба, фасады филенчатые распашные, выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;8;;;;;Шкаф подвесной с глухими фасадами(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;9;;;;;Шкаф подвесной с глухим фасадом(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;10;;;;;Портал каминного типа, под вытяжку, с резными кронштейнами, Резные кронштейны, арочная панель, филенчатая с резным элементом, Карниз с гладким  профилем;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;11;;;;;Панель над (вытяжкой): филенка с фетрикальной фрезеровкой;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;46;;3 этаж;Кухня 305 / развертка B-С;шт;1;Спец.Дизайн;Бук;нет;;46  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;121;3этаж/гардеробная 310/гарнитур гардеробный;12;;;;;Шкаф встроенный, Фасад раздвижной с зеркалом (зеркало серебро), Наполнение: штанги стационарные, полки деревянные стационарные, ящики выдыижные (8 шт, направляющие с доводчиками), Задняя стенка шкафа: гладкая, Цокольный плинтус с гладким профилем, Карниз с гладким профилем (без учета стоимости лицевой фурнитуры и подсветки);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 30-11-2018;43;;3 этаж;Гардеробная 310 / развертка 3;шт;1;Спец.Дизайн;Бук;нет;укрывной;43  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;121;3этаж/гардеробная 310/гарнитур гардеробный;13;;;;;Шкаф встроенный открытый, Наполнение: штанги стационарные, полки деревянные стационарные, ящики выдыижные (4 шт, направляющие с доводчиками), Задняя стенка шкафа: гладкая, Цокольный плинтус с гладким профилем, Карниз с гладким профилем без учета стоимости лицевой фурнитуры и подсветки);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 30-11-2018;43;;3 этаж;Гардеробная 310 / развертка 1;шт;1;Спец.Дизайн;Бук;нет;укрывной;43  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;121;3этаж/гардеробная 310/гарнитур гардеробный;14;;;;;Шкаф встроенный открытый, Наполнение: штанги стационарные, полки деревянные стационарные, ящики выдыижные (2 шт, направляющие с доводчиками), Задняя стенка шкафа: гладкая, Цокольный плинтус с гладким профилем, Карниз с гладким профилем без учета стоимости лицевой фурнитуры и подсветки);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 30-11-2018;43;;3 этаж;Гардеробная 310 / развертка 4;шт;1;Спец.Дизайн;Бук;нет;укрывной;43  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;121;3этаж/гардеробная 310/гарнитур гардеробный;15;;;;;Комод встроенный (с экраном радиатора), Столешница деревянная с гладким профилем, Ящики выдвижные 16 шт, направляющие с доводчиками, (без учета стоимости лицевой фурнитуры) / Экран, встроенный в комод: решетка деревянная (наборная, под 45), цоколь с конвекционным пазом;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 30-11-2018;43;;3 этаж;Гардеробная 310 / развертка 2;шт;1;Спец.Дизайн;Бук;нет;укрывной;43  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;121;3этаж/гардеробная 310/гарнитур гардеробный;16;;;;;Шкаф-стеллаж подвесной (над комодом), 9 открытых секций, 9 ящичных секций (выдвижные ящики с глухими филенчатыми фасадами);;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 30-11-2018;43;;3 этаж;Гардеробная 310 / развертка 2;шт;1;Спец.Дизайн;Бук;нет;укрывной;43  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;117;3этаж/спальня 312/стеллаж,плинтус;17;;;;;Шкаф-стеллаж, встроенный в нишу (справа от рабочего стола), Наполнение: полки деревянные стационарные, Цокольный плинтус с гладким профидем, (без учета стоимости лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Жебраков М.;Жебраков М.;;48;;3 этаж;Спальня 312;шт;1;Спец.Дизайн;Бук;нет;;48  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;18;;;;;Тумба кухонная, фасады филенчатые распашные, с выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;19;;;;;Тумба кухонная, фасады филенчатые распашные, с выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;20;;;;;Шкаф подвесной с глухими фасадами(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;21;;;;;Шкаф подвесной с глухими фасадами(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;22;22;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;301;;16;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;122;3этаж/коридор 302/шкаф встроенный...;23;23;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 26-11-2018;49;;3 этаж;302;;11.5;Спец.Дизайн;Бук;нет;укрывной;49  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;(П)13-12-2018;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;24;24;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;303;;7.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;08-11-2018;НЕТ;08-11-2018;НЕТ;08-11-2018;НЕТ;;НЕТ;;;08-11-2018;НЕТ;08-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;120;3этаж/гостиная 304/экран радиатора,плинтус;25;25;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;304;;15;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;26;26;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;306;;17.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;27;27;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;309;;21;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;28;28;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-11-2018;;;3 этаж;311;;12;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;21-11-2018;21-11-2018;;;21-11-2018;21-11-2018;26-11-2018;НЕТ;03-12-2018;НЕТ;03-12-2018;НЕТ;03-12-2018;НЕТ;;НЕТ;;;03-12-2018;НЕТ;03-12-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;117;3этаж/спальня 312/стеллаж,плинтус;29;29;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;312;;19.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;30;;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;;;;3 этаж;317;;8.8;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;120;3этаж/гостиная 304/экран радиатора,плинтус;31;;;;;Экран для радиатора,), решетка деревянная (наборная, под 45) в обвязке со штапиком с гладким профилем, цоколь с конвекционным пазом;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;;;;3 этаж;Гостиная 304 / развертка 1;шт;1;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;32;;;;;Экран для радиатора,), решетка деревянная (наборная, под 45) в обвязке со штапиком с гладким профилем, цоколь с конвекционным пазом;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;47;;3 этаж;Кухня 305 / развертка 1;шт;1;Спец.Дизайн;Бук;нер;;47  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
